timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591190459461,701,Login as teacher,200,,setUp Thread Group 1-1,text,true,,1368,155,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/teacher,695,0,414
1591190460213,394,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,393,0,0
1591190460608,304,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,304,0,0
1591190460913,306,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,306,0,0
1591190461220,307,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,307,0,0
1591190461528,408,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,408,0,74
1591190461937,306,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,306,0,0
1591190462244,306,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,305,0,0
1591190462551,306,Create question,200,,setUp Thread Group 1-1,text,true,,836,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,306,0,0
1591190462858,307,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,306,0,0
1591190463166,304,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,304,0,0
1591190463471,400,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,399,0,0
